ASSET_TYPE                                                NAME                                                                                                                                                                                                                            LOCATION
firebaserules.googleapis.com/Release                      //firebaserules.googleapis.com/projects/heidless-apps-2/releases/cloud.firestore/persona-db-0                                                                                                                                   global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/e5aeef61-deef-4020-972c-1147de011bad                                                                                                                           global
firestore.googleapis.com/Database                         //firestore.googleapis.com/projects/789026577646/databases/persona-db-0                                                                                                                                                         nam5
artifactregistry.googleapis.com/DockerImage               //artifactregistry.googleapis.com/projects/heidless-apps-2/locations/us-central1/repositories/cloud-run-source-deploy/dockerImages/prompttool@sha256:8f7686ce76e12d96d8d2879ab42236a3968133e651527a83895c904a300cd558           us-central1
artifactregistry.googleapis.com/DockerImage               //artifactregistry.googleapis.com/projects/heidless-apps-2/locations/us-central1/repositories/cloud-run-source-deploy/dockerImages/promptmaster-spa@sha256:dcb049f10295bdd007c5675739fe164d8c359d0728ee30703eba3ebd8e5f201b     us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/suiteutils-00010-xk7                                                                                                                              us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/ssrpromptresourcesv1-00020-k78                                                                                                                    us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/ssrheidlessvideosystem-00004-znq                                                                                                                  us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/prompttool-00013-gxf                                                                                                                              us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/promptmaster-spa-00012-cv7                                                                                                                        us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/suiteutils-00009-rwx                                                                                                                              us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/ssrpromptresourcesv1-00019-46n                                                                                                                    us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/ssrheidlessvideosystem-00003-w9j                                                                                                                  us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/prompttool-00012-zvl                                                                                                                              us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/promptmaster-spa-00011-v5c                                                                                                                        us-central1
compute.googleapis.com/Firewall                           //compute.googleapis.com/projects/heidless-apps-2/global/firewalls/default-allow-ssh                                                                                                                                            global
compute.googleapis.com/Firewall                           //compute.googleapis.com/projects/heidless-apps-2/global/firewalls/default-allow-icmp                                                                                                                                           global
compute.googleapis.com/Firewall                           //compute.googleapis.com/projects/heidless-apps-2/global/firewalls/default-allow-internal                                                                                                                                       global
compute.googleapis.com/Firewall                           //compute.googleapis.com/projects/heidless-apps-2/global/firewalls/default-allow-rdp                                                                                                                                            global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-f15168ed10296c40                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-8ef7f3829bc9ff2b                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-73eb242f3ec59ba6                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-b348246cdd102903                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-e23181b168bec827                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-5c308c70f76655db                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-8b473238fa49ac0c                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-d8bd4eb7accb0445                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-049d1b2e0fb5c489                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-c4acb35426c989a8                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-d5b7cbef30aaff07                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-ed0b7c200f057de6                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-dd9daa265c758965                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-0618e20d5d6bad52                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-323baf5440381f71                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-27d5d95624fe5177                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-dd65ef4e92095455                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-3096517f7571c48f                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-f90f0869a240cada                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-f218bbafcfdfd3cb                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-469cd0504b570751                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-727d1352503d6c42                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-283cab5be3ff61ca                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-0b12865734962ebf                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-30274829a8fb5eab                                                                                                                                global
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/asia-south2/subnetworks/default                                                                                                                                       asia-south2
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-28400c667238937f                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-11037c897dac982b                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-cb407a52f4d2dd57                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-37b1e671b0221af6                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-7abd4017b0e10650                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-6fd5d9498419bd6b                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-1a67a119533b8c3a                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-86167d0cc47e0296                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-b3794428e58d6fe9                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-7a858b03c7b28673                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-3a4f1e8f4ca00c09                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-850ead7daff5bc77                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-ef4fe3cc8c6b28c5                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-66547d8b7cdf3425                                                                                                                                global
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/asia-east2/subnetworks/default                                                                                                                                        asia-east2
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/australia-southeast1/subnetworks/default                                                                                                                              australia-southeast1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-west8/subnetworks/default                                                                                                                                      europe-west8
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/asia-northeast1/subnetworks/default                                                                                                                                   asia-northeast1
